Time,PCG,ECG
0.0,1454.0,0.002
0.0005,3040.0,0.022
0.001,2689.0,0.058
0.0015,2825.0,0.116
0.002,2638.0,0.212
0.0025,2598.0,0.357
0.003,2394.0,0.559
0.0035,2258.0,0.821
0.004,2061.0,1.145
0.0045,1894.0,1.522
0.005,1696.0,1.94
0.0055,1531.0,2.385
0.006,1311.0,2.836
0.0065,1112.0,3.276
0.007,899.0,3.684
0.0075,680.0,4.047
0.008,467.0,4.354
0.0085,272.0,4.598
0.009,20.0,4.782
0.0095,-195.0,4.908
0.01,-394.0,4.99
0.0105,-568.0,5.036
0.011,-728.0,5.062
0.0115,-875.0,5.071
0.012,-1009.0,5.063
0.0125,-1116.0,5.057
0.013,-1196.0,5.051
0.0135,-1243.0,5.046
0.014,-1260.0,5.04
0.0145,-1293.0,5.037
0.015,-1292.0,5.035
0.0155,-1295.0,5.034
0.016,-1309.0,5.036
0.0165,-1316.0,5.038
0.017,-1329.0,5.041
0.0175,-1315.0,5.047
0.018,-1329.0,5.054
0.0185,-1293.0,5.062
0.019,-1216.0,5.071
0.0195,-1077.0,5.08
0.02,-883.0,5.09
0.0205,-713.0,5.1
0.021,-502.0,5.11
0.0215,-299.0,5.118
0.022,-104.0,5.125
0.0225,67.0,5.131
0.023,217.0,5.136
0.0235,377.0,5.139
0.024,457.0,5.139
0.0245,549.0,5.138
0.025,522.0,5.135
0.0255,580.0,5.128
0.026,407.0,5.121
0.0265,464.0,5.113
0.027,338.0,5.103
0.0275,399.0,5.092
0.028,367.0,5.08
0.0285,453.0,5.069
0.029,481.0,5.057
0.0295,560.0,5.048
0.03,533.0,5.038
0.0305,456.0,5.03
0.031,298.0,5.024
0.0315,81.0,5.019
0.032,-141.0,5.016
0.0325,-363.0,5.016
0.033,-532.0,5.018
0.0335,-654.0,5.022
0.034,-766.0,5.026
0.0345,-854.0,5.034
0.035,-942.0,5.041
0.0355,-1040.0,5.051
0.036,-1138.0,5.061
0.0365,-1220.0,5.072
0.037,-1278.0,5.081
0.0375,-1312.0,5.093
0.038,-1303.0,5.102
0.0385,-1304.0,5.111
0.039,-1292.0,5.118
0.0395,-1275.0,5.125
0.04,-1271.0,5.128
0.0405,-1250.0,5.13
0.041,-1204.0,5.13
0.0415,-1143.0,5.127
0.042,-1076.0,5.122
0.0425,-987.0,5.114
0.043,-913.0,5.105
0.0435,-853.0,5.093
0.044,-811.0,5.08
0.0445,-735.0,5.066
0.045,-678.0,5.051
0.0455,-635.0,5.035
0.046,-578.0,5.021
0.0465,-538.0,5.006
0.047,-525.0,4.992
0.0475,-509.0,4.981
0.048,-495.0,4.97
0.0485,-450.0,4.962
0.049,-370.0,4.956
0.0495,-257.0,4.952
0.05,-135.0,4.951
0.0505,-42.0,4.951
0.051,42.0,4.953
0.0515,85.0,4.958
0.052,138.0,4.965
0.0525,178.0,4.973
0.053,202.0,4.982
0.0535,196.0,4.992
0.054,159.0,5.002
0.0545,88.0,5.012
0.055,18.0,5.022
0.0555,-30.0,5.031
0.056,-97.0,5.039
0.0565,-158.0,5.047
0.057,-234.0,5.052
0.0575,-295.0,5.057
0.058,-334.0,5.058
0.0585,-352.0,5.058
0.059,-302.0,5.056
0.0595,-225.0,5.052
0.06,-124.0,5.046
0.0605,-17.0,5.04
0.061,116.0,5.032
0.0615,257.0,5.023
0.062,424.0,5.014
0.0625,577.0,5.006
0.063,771.0,4.997
0.0635,910.0,4.989
0.064,1075.0,4.982
0.0645,1212.0,4.976
0.065,1365.0,4.973
0.0655,1540.0,4.97
0.066,1710.0,4.97
0.0665,1865.0,4.972
0.067,1953.0,4.974
0.0675,1970.0,4.98
0.068,1898.0,4.987
0.0685,1765.0,4.994
0.069,1564.0,5.003
0.0695,1335.0,5.013
0.07,1073.0,5.023
0.0705,810.0,5.033
0.071,541.0,5.043
0.0715,287.0,5.051
0.072,48.0,5.057
0.0725,-204.0,5.063
0.073,-433.0,5.068
0.0735,-616.0,5.069
0.074,-805.0,5.07
0.0745,-968.0,5.067
0.075,-1080.0,5.062
0.0755,-1213.0,5.054
0.076,-1316.0,5.045
0.0765,-1327.0,5.033
0.077,-1342.0,5.021
0.0775,-1242.0,5.006
0.078,-1144.0,4.992
0.0785,-991.0,4.976
0.079,-882.0,4.961
0.0795,-733.0,4.947
0.08,-619.0,4.934
0.0805,-542.0,4.921
0.081,-534.0,4.911
0.0815,-580.0,4.903
0.082,-641.0,4.896
0.0825,-666.0,4.892
0.083,-662.0,4.89
0.0835,-609.0,4.89
0.084,-544.0,4.892
0.0845,-481.0,4.897
0.085,-389.0,4.903
0.0855,-250.0,4.911
0.086,-104.0,4.92
0.0865,58.0,4.93
0.087,202.0,4.941
0.0875,332.0,4.953
0.088,463.0,4.964
0.0885,570.0,4.974
0.089,641.0,4.985
0.0895,656.0,4.995
0.09,634.0,5.002
0.0905,599.0,5.009
0.091,562.0,5.014
0.0915,521.0,5.016
0.092,474.0,5.016
0.0925,451.0,5.015
0.093,419.0,5.013
0.0935,421.0,5.008
0.094,434.0,5.002
0.0945,446.0,4.995
0.095,437.0,4.987
0.0955,452.0,4.978
0.096,462.0,4.969
0.0965,436.0,4.961
0.097,441.0,4.955
0.0975,361.0,4.949
0.098,378.0,4.942
0.0985,207.0,4.94
0.099,303.0,4.937
0.0995,-161.0,4.937
0.1,279.0,4.939
0.1005,-112.0,4.942
0.101,53.0,4.947
0.1015,-46.0,4.953
0.102,37.0,4.96
0.1025,87.0,4.968
0.103,125.0,4.976
0.1035,231.0,4.985
0.104,315.0,4.994
0.1045,423.0,5.002
0.105,481.0,5.01
0.1055,458.0,5.017
0.106,327.0,5.022
0.1065,116.0,5.025
0.107,-114.0,5.028
0.1075,-323.0,5.027
0.108,-498.0,5.023
0.1085,-690.0,5.018
0.109,-910.0,5.012
0.1095,-1172.0,5.004
0.11,-1400.0,4.992
0.1105,-1560.0,4.98
0.111,-1639.0,4.967
0.1115,-1642.0,4.952
0.112,-1615.0,4.938
0.1125,-1593.0,4.923
0.113,-1561.0,4.91
0.1135,-1500.0,4.896
0.114,-1413.0,4.885
0.1145,-1305.0,4.875
0.115,-1154.0,4.866
0.1155,-1016.0,4.861
0.116,-847.0,4.856
0.1165,-734.0,4.854
0.117,-596.0,4.854
0.1175,-543.0,4.858
0.118,-391.0,4.863
0.1185,-556.0,4.87
0.119,-377.0,4.879
0.1195,-443.0,4.888
0.12,-500.0,4.9
0.1205,-475.0,4.911
0.121,-587.0,4.923
0.1215,-495.0,4.935
0.122,-547.0,4.948
0.1225,-442.0,4.959
0.123,-440.0,4.968
0.1235,-321.0,4.976
0.124,-312.0,4.983
0.1245,-296.0,4.987
0.125,-413.0,4.988
0.1255,-595.0,4.988
0.126,-806.0,4.986
0.1265,-1001.0,4.98
0.127,-1138.0,4.974
0.1275,-1234.0,4.964
0.128,-1319.0,4.955
0.1285,-1402.0,4.943
0.129,-1435.0,4.933
0.1295,-1409.0,4.922
0.13,-1308.0,4.911
0.1305,-1145.0,4.901
0.131,-923.0,4.891
0.1315,-702.0,4.884
0.132,-504.0,4.878
0.1325,-308.0,4.875
0.133,-160.0,4.872
0.1335,-46.0,4.873
0.134,71.0,4.875
0.1345,199.0,4.879
0.135,325.0,4.885
0.1355,461.0,4.893
0.136,585.0,4.902
0.1365,700.0,4.912
0.137,804.0,4.923
0.1375,877.0,4.935
0.138,926.0,4.945
0.1385,974.0,4.956
0.139,1014.0,4.966
0.1395,1045.0,4.974
0.14,1049.0,4.981
0.1405,1061.0,4.987
0.141,1057.0,4.99
0.1415,1050.0,4.991
0.142,1024.0,4.99
0.1425,987.0,4.987
0.143,959.0,4.982
0.1435,913.0,4.975
0.144,850.0,4.965
0.1445,756.0,4.956
0.145,697.0,4.945
0.1455,595.0,4.934
0.146,490.0,4.924
0.1465,376.0,4.912
0.147,242.0,4.902
0.1475,108.0,4.892
0.148,0.0,4.885
0.1485,-73.0,4.879
0.149,-148.0,4.876
0.1495,-162.0,4.873
0.15,-171.0,4.873
0.1505,-183.0,4.874
0.151,-181.0,4.876
0.1515,-172.0,4.881
0.152,-149.0,4.888
0.1525,-126.0,4.895
0.153,-99.0,4.903
0.1535,-82.0,4.912
0.154,-57.0,4.921
0.1545,-21.0,4.929
0.155,46.0,4.939
0.1555,106.0,4.947
0.156,188.0,4.955
0.1565,204.0,4.961
0.157,315.0,4.967
0.1575,255.0,4.971
0.158,485.0,4.973
0.1585,603.0,4.973
0.159,629.0,4.972
0.1595,825.0,4.969
0.16,805.0,4.965
0.1605,971.0,4.959
0.161,967.0,4.952
0.1615,1106.0,4.946
0.162,1180.0,4.937
0.1625,1297.0,4.929
0.163,1340.0,4.922
0.1635,1390.0,4.915
0.164,1397.0,4.908
0.1645,1372.0,4.903
0.165,1311.0,4.899
0.1655,1259.0,4.897
0.166,1192.0,4.895
0.1665,1049.0,4.896
0.167,894.0,4.898
0.1675,691.0,4.902
0.168,497.0,4.907
0.1685,325.0,4.913
0.169,213.0,4.92
0.1695,146.0,4.928
0.17,134.0,4.936
0.1705,192.0,4.945
0.171,187.0,4.953
0.1715,11.0,4.962
0.172,-209.0,4.971
0.1725,-317.0,4.976
0.173,-690.0,4.983
