Time,PCG,ECG
0.0,343.0,-0.002
0.0005,825.0,-0.004
0.001,946.0,-0.004
0.0015,996.0,-0.005
0.002,1046.0,-0.005
0.0025,1020.0,-0.003
0.003,956.0,0.003
0.0035,960.0,0.013
0.004,861.0,0.031
0.0045,895.0,0.055
0.005,849.0,0.086
0.0055,884.0,0.123
0.006,804.0,0.164
0.0065,752.0,0.21
0.007,718.0,0.257
0.0075,577.0,0.303
0.008,571.0,0.347
0.0085,405.0,0.385
0.009,299.0,0.418
0.0095,189.0,0.444
0.01,160.0,0.464
0.0105,91.0,0.479
0.011,137.0,0.489
0.0115,-9.0,0.497
0.012,-79.0,0.5
0.0125,-37.0,0.501
0.013,-146.0,0.502
0.0135,-146.0,0.502
0.014,-280.0,0.501
0.0145,-305.0,0.5
0.015,-396.0,0.499
0.0155,-525.0,0.496
0.016,-626.0,0.495
0.0165,-259.0,0.492
0.017,-869.0,0.489
0.0175,-393.0,0.487
0.018,-288.0,0.486
0.0185,-246.0,0.483
0.019,34.0,0.483
0.0195,1.0,0.481
0.02,65.0,0.481
0.0205,143.0,0.481
0.021,158.0,0.481
0.0215,223.0,0.481
0.022,230.0,0.481
0.0225,377.0,0.482
0.023,412.0,0.483
0.0235,498.0,0.485
0.024,635.0,0.485
0.0245,484.0,0.488
0.025,498.0,0.489
0.0255,403.0,0.489
0.026,269.0,0.49
0.0265,335.0,0.491
0.027,342.0,0.491
0.0275,466.0,0.491
0.028,544.0,0.49
0.0285,639.0,0.491
0.029,658.0,0.488
0.0295,631.0,0.488
0.03,509.0,0.486
0.0305,326.0,0.483
0.031,248.0,0.481
0.0315,7.0,0.478
0.032,-97.0,0.474
0.0325,-214.0,0.472
0.033,-298.0,0.468
0.0335,-309.0,0.466
0.034,-291.0,0.463
0.0345,-265.0,0.462
0.035,-202.0,0.459
0.0355,-224.0,0.459
0.036,-212.0,0.459
0.0365,-197.0,0.461
0.037,-212.0,0.462
0.0375,-206.0,0.466
0.038,-250.0,0.47
0.0385,-231.0,0.477
0.039,-301.0,0.483
0.0395,-240.0,0.493
0.04,-337.0,0.501
0.0405,-333.0,0.511
0.041,-226.0,0.522
0.0415,-278.0,0.533
0.042,-185.0,0.545
0.0425,-22.0,0.555
0.043,-34.0,0.566
0.0435,177.0,0.577
0.044,216.0,0.586
0.0445,182.0,0.594
0.045,175.0,0.602
0.0455,44.0,0.606
0.046,-3.0,0.611
0.0465,-47.0,0.613
0.047,-20.0,0.614
0.0475,24.0,0.613
0.048,99.0,0.611
0.0485,135.0,0.606
0.049,133.0,0.601
0.0495,109.0,0.594
0.05,-23.0,0.587
0.0505,-59.0,0.578
0.051,-72.0,0.567
0.0515,-290.0,0.557
0.052,-298.0,0.548
0.0525,-419.0,0.538
0.053,-525.0,0.527
0.0535,-630.0,0.517
0.054,-692.0,0.507
0.0545,-683.0,0.498
0.055,-645.0,0.489
0.0555,-678.0,0.482
0.056,-546.0,0.474
0.0565,-543.0,0.469
0.057,-462.0,0.463
0.0575,-430.0,0.46
0.058,-438.0,0.456
0.0585,-400.0,0.452
0.059,-365.0,0.45
0.0595,-260.0,0.45
0.06,-365.0,0.448
0.0605,-353.0,0.449
0.061,-419.0,0.45
0.0615,-494.0,0.45
0.062,-493.0,0.451
0.0625,-545.0,0.454
0.063,-391.0,0.455
0.0635,-242.0,0.456
0.064,-94.0,0.458
0.0645,104.0,0.459
0.065,121.0,0.461
0.0655,180.0,0.462
0.066,175.0,0.464
0.0665,257.0,0.465
0.067,245.0,0.465
0.0675,213.0,0.467
0.068,180.0,0.47
0.0685,143.0,0.47
0.069,125.0,0.472
0.0695,38.0,0.475
0.07,-91.0,0.477
0.0705,-139.0,0.481
0.071,-182.0,0.485
