timestamp,red,ir
96321741,84866,124656
96331741,84853,124635
96341741,84844,124654
96351741,84841,124635
96361741,84838,124664
96371741,84832,124658
96381741,84831,124657
96391741,84821,124667
96401741,84817,124642
96411741,84813,124615
96421741,84800,124613
96431741,84794,124603
96441741,84795,124585
96451741,84796,124587
96461741,84802,124564
96471741,84803,124554
96481741,84807,124551
96491741,84799,124545
96501741,84800,124541
96512741,84793,124537
96522741,84797,124542
96532741,84783,124543
96542741,84800,124556
96552741,84785,124573
96562741,84798,124575
96572741,84808,124576
96582741,84792,124576
96592741,84800,124575
96602741,84801,124590
96612741,84799,124586
96622741,84817,124582
96632741,84800,124591
96642741,84809,124576
96652741,84810,124589
96662741,84795,124568
96672741,84803,124567
96682741,84794,124571
96692741,84795,124563
96702741,84776,124564
96712741,84783,124546
96723741,84782,124544
96733741,84776,124554
96743741,84769,124531
96753741,84768,124536
96763741,84760,124527
96773741,84770,124545
96783741,84756,124532
96793741,84755,124519
96803741,84747,124518
96813741,84750,124509
96823741,84760,124507
96833741,84761,124494
96843741,84760,124495
96853741,84755,124509
96863741,84749,124477
96873741,84756,124488
96883741,84748,124472
96893741,84761,124476
96903741,84758,124489
96913741,84756,124486
96924741,84757,124493
96934741,84747,124495
96944741,84743,124484
96954741,84746,124506
96964741,84742,124508
96974741,84754,124516
96984741,84748,124521
96994741,84753,124532
97004741,84755,124549
97014741,84751,124550
97024741,84764,124559
97034741,84767,124542
97044741,84771,124543
97054741,84763,124555
97064741,84772,124545
97074741,84775,124548
97084741,84768,124540
97094741,84774,124536
97104741,84759,124529
97114741,84762,124533
97124741,84749,124543
97135741,84764,124558
97145741,84751,124545
97155741,84756,124565
97165741,84747,124556
97175741,84765,124562
97185741,84763,124564
97195741,84755,124556
97205741,84748,124569
97215741,84758,124569
97225741,84779,124570
97235741,84762,124567
97245741,84783,124578
97255741,84775,124562
97265741,84782,124569
97275741,84771,124549
97285741,84778,124561
97295741,84776,124560
97305741,84772,124551
97315741,84768,124543
97325741,84765,124540
97336741,84768,124539
97346741,84772,124528
97356741,84756,124525
97366741,84763,124540
97376741,84752,124526
97386741,84775,124548
97396741,84762,124522
97406741,84766,124522
97416741,84760,124522
97426741,84765,124522
97436741,84775,124529
97446741,84775,124524
97456741,84779,124535
97466741,84777,124527
97476741,84776,124520
97486741,84775,124544
97496741,84768,124521
97506741,84788,124541
97516741,84772,124544
97526741,84772,124560
97536741,84784,124570
97547741,84776,124572
97557741,84771,124555
97567741,84777,124546
97577741,84769,124544
97587741,84757,124547
97597741,84762,124542
97607741,84771,124547
97617741,84771,124559
97627741,84774,124575
97637741,84785,124596
97647741,84782,124581
97657741,84785,124578
97667741,84787,124586
97677741,84791,124572
97687741,84784,124572
97697741,84793,124579
97707741,84794,124581
97717741,84801,124573
97727741,84793,124571
97737741,84794,124566
97748741,84784,124567
97758741,84780,124560
97768741,84778,124575
97778741,84780,124564
97788741,84784,124584
97798741,84786,124592
97808741,84788,124599
97818741,84798,124587
97828741,84792,124607
97838741,84792,124598
97848741,84794,124590
97858741,84794,124601
97868741,84797,124596
97878741,84803,124604
97888741,84790,124607
97898741,84796,124604
97908741,84792,124603
97918741,84793,124583
97928741,84782,124588
97938741,84790,124577
97948741,84781,124572
97959741,84779,124558
97969741,84769,124555
97979741,84772,124553
97989741,84769,124565
97999741,84777,124571
98009741,84777,124576
98019741,84783,124586
98029741,84777,124589
98039741,84789,124584
98049741,84780,124590
98059741,84783,124591
98069741,84787,124582
98079741,84788,124592
98089741,84783,124581
98099741,84785,124576
98109741,84781,124587
98119741,84785,124581
98129741,84786,124579
98139741,84776,124577
98149741,84775,124565
98159741,84772,124565
98170741,84769,124552
98180741,84766,124558
98190741,84767,124548
98200741,84768,124561
98210741,84760,124558
98220741,84760,124581
98230741,84772,124571
98240741,84781,124574
98250741,84779,124577
98260741,84783,124572
98270741,84796,124568
98280741,84784,124561
98290741,84788,124560
98300741,84783,124570
98310741,84791,124560
98320741,84793,124574
98330741,84787,124565
98340741,84795,124588
98350741,84793,124590
98360741,84791,124594
98371741,84791,124612
98381741,84796,124612
98391741,84798,124605
98401741,84799,124610
98411741,84784,124599
98421741,84788,124586
98431741,84794,124589
98441741,84786,124601
98451741,84795,124608
98461741,84805,124585
98471741,84795,124596
98481741,84796,124577
98491741,84799,124564
98501741,84793,124569
98511741,84794,124552
98521741,84792,124557
98531741,84778,124537
98541741,84795,124546
98551741,84772,124540
98561741,84780,124554
98571741,84774,124542
98582741,84779,124561
98592741,84771,124570
98602741,84771,124567
98612741,84769,124580
98622741,84776,124591
98632741,84779,124588
98642741,84783,124610
98652741,84780,124608
98662741,84786,124604
98672741,84795,124593
98682741,84782,124598
98692741,84791,124589
98702741,84796,124598
98712741,84799,124604
98722741,84789,124613
98732741,84800,124626
98742741,84805,124640
98752741,84814,124644
98762741,84821,124655
98772741,84806,124661
98783741,84816,124670
98793741,84826,124675
98803741,84814,124686
98813741,84814,124680
98823741,84816,124694
98833741,84819,124694
98843741,84820,124705
98853741,84826,124722
98863741,84840,124727
98873741,84846,124747
98883741,84847,124747
98893741,84857,124748
98903741,84857,124743
98913741,84858,124718
98923741,84857,124718
98933741,84845,124711
98943741,84832,124696
98953741,84828,124681
98963741,84822,124697
98973741,84824,124710
98983741,84835,124721
98994741,84840,124743
99004741,84840,124742
99014741,84843,124734
99024741,84843,124730
99034741,84823,124716
99044741,84825,124694
99054741,84829,124697
99064741,84831,124701
99074741,84828,124704
99084741,84836,124710
99094741,84836,124739
99104741,84835,124745
99114741,84848,124781
99124741,84855,124825
99134741,84852,124828
99144741,84863,124844
99154741,84871,124849
99164741,84872,124860
99174741,84881,124848
99184741,84874,124857
99194741,84874,124846
99205741,84872,124848
99215741,84864,124838
99225741,84868,124812
99235741,84865,124830
99245741,84853,124815
99255741,84853,124825
99265741,84851,124813
99275741,84852,124817
99285741,84849,124832
99295741,84853,124819
99305741,84858,124810
99315741,84848,124807
99325741,84844,124803
99335741,84849,124785
99345741,84837,124772
99355741,84824,124768
99365741,84825,124758
99375741,84815,124766
99385741,84826,124739
99395741,84829,124755
99406741,84820,124749
99416741,84814,124738
99426741,84817,124755
99436741,84807,124752
99446741,84816,124745
99456741,84816,124740
99466741,84810,124737
99476741,84816,124747
99486741,84822,124745
99496741,84829,124742
99506741,84827,124742
99516741,84822,124748
99526741,84832,124738
99536741,84828,124745
99546741,84824,124722
99556741,84827,124719
99566741,84814,124699
99576741,84811,124688
99586741,84803,124680
99596741,84804,124679
99607741,84810,124695
99617741,84802,124699
99627741,84795,124693
99637741,84808,124696
99647741,84798,124707
99657741,84796,124700
99667741,84805,124696
99677741,84795,124694
99687741,84804,124705
99697741,84804,124714
99707741,84800,124720
99717741,84820,124712
99727741,84815,124716
99737741,84809,124714
99747741,84815,124714
99757741,84809,124696
99767741,84810,124697
99777741,84809,124704
99787741,84810,124687
99797741,84803,124691
99808741,84817,124686
99818741,84809,124672
99828741,84805,124691
99838741,84804,124673
99848741,84798,124667
99858741,84806,124676
99868741,84797,124675
99878741,84799,124669
99888741,84792,124673
99898741,84788,124658
99908741,84797,124674
99918741,84806,124650
99928741,84801,124645
99938741,84789,124658
99948741,84798,124650
99958741,84792,124647
99968741,84794,124639
99978741,84800,124644
99988741,84803,124628
99998741,84794,124633
100008741,84784,124627
100019741,84780,124641
100029741,84786,124619
100039741,84779,124612
100049741,84778,124621
100059741,84771,124612
100069741,84777,124591
100079741,84764,124584
100089741,84780,124595
100099741,84779,124607
100109741,84775,124595
100119741,84782,124590
100129741,84778,124593
100139741,84779,124599
100149741,84772,124601
100159741,84768,124585
100169741,84774,124592
100179741,84774,124583
100189741,84784,124610
100199741,84779,124605
100209741,84780,124603
100220741,84774,124603
100230741,84772,124608
100240741,84767,124592
100250741,84771,124614
100260741,84766,124617
100270741,84773,124630
100280741,84777,124610
100290741,84772,124609
100300741,84763,124625
100310741,84775,124612
100320741,84778,124625
100330741,84782,124635
100340741,84793,124621
100350741,84785,124628
100360741,84788,124626
100370741,84780,124631
100380741,84782,124614
100390741,84792,124623
100400741,84779,124618
100410741,84784,124626
100420741,84784,124631
100431741,84781,124632
100441741,84777,124640
100451741,84773,124634
100461741,84771,124653
100471741,84773,124626
100481741,84779,124643
100491741,84774,124635
100501741,84768,124633
100511741,84773,124647
100521741,84779,124632
100531741,84789,124628
100541741,84780,124617
100551741,84779,124600
100561741,84774,124600
100571741,84767,124588
100581741,84778,124595
100591741,84770,124568
100601741,84782,124564
100611741,84762,124564
100621741,84766,124548
100632741,84759,124565
100642741,84760,124564
100652741,84765,124560
100662741,84767,124587
100672741,84763,124583
100682741,84757,124582
100692741,84774,124579
100702741,84770,124591
100712741,84770,124615
100722741,84774,124602
100732741,84777,124607
100742741,84777,124609
100752741,84790,124608
100762741,84787,124593
100772741,84777,124603
100782741,84777,124585
100792741,84779,124595
100802741,84767,124586
100812741,84770,124571
100822741,84763,124575
100832741,84761,124561
100843741,84761,124568
100853741,84754,124561
100863741,84754,124555
100873741,84750,124566
100883741,84743,124541
100893741,84748,124548
100903741,84744,124554
100913741,84750,124549
100923741,84750,124576
100933741,84753,124559
100943741,84758,124571
100953741,84761,124568
100963741,84762,124572
100973741,84768,124577
100983741,84756,124575
100993741,84762,124593
101003741,84758,124569
101013741,84761,124579
101023741,84768,124568
101033741,84751,124565
101044741,84743,124555
101054741,84750,124572
101064741,84745,124576
101074741,84751,124573
101084741,84745,124570
101094741,84742,124554
101104741,84743,124547
101114741,84734,124524
101124741,84736,124525
101134741,84732,124507
101144741,84728,124509
101154741,84749,124513
101164741,84738,124509
101174741,84732,124503
101184741,84743,124517
101194741,84738,124505
101204741,84746,124512
101214741,84740,124518
101224741,84740,124511
101234741,84739,124523
101245741,84735,124520
101255741,84738,124525
101265741,84735,124533
101275741,84733,124525
101285741,84743,124529
101295741,84740,124530
101305741,84725,124528
101315741,84744,124539
101325741,84746,124543
101335741,84749,124553
101345741,84744,124550
101355741,84756,124547
101365741,84753,124538
101375741,84758,124539
101385741,84752,124548
101395741,84756,124533
101405741,84762,124546
101415741,84751,124552
101425741,84762,124552
101435741,84762,124549
101445741,84759,124567
101456741,84753,124561
101466741,84755,124575
101476741,84757,124560
101486741,84750,124562
101496741,84755,124582
101506741,84753,124566
101516741,84764,124586
101526741,84761,124588
101536741,84761,124594
101546741,84771,124593
101556741,84769,124606
101566741,84783,124598
101576741,84766,124597
101586741,84776,124600
101596741,84777,124627
101606741,84775,124600
101616741,84774,124592
101626741,84765,124579
101636741,84779,124574
101646741,84759,124558
101657741,84758,124546
101667741,84745,124527
101677741,84759,124519
101687741,84738,124503
101697741,84743,124503
101707741,84742,124495
101717741,84739,124489
101727741,84742,124504
101737741,84740,124487
101747741,84737,124489
101757741,84746,124504
101767741,84735,124498
101777741,84750,124499
101787741,84752,124497
101797741,84745,124512
101807741,84747,124506
101817741,84747,124510
101827741,84746,124496
101837741,84743,124496
101847741,84740,124488
101857741,84743,124486
101868741,84738,124486
101878741,84729,124466
101888741,84739,124495
101898741,84736,124489
101908741,84728,124487
101918741,84741,124489
101928741,84743,124495
101938741,84741,124502
101948741,84738,124517
101958741,84748,124521
101968741,84758,124529
101978741,84767,124519
101988741,84760,124522
101998741,84759,124523
102008741,84760,124532
102018741,84758,124530
102028741,84775,124529
102038741,84759,124529
102048741,84761,124530
102058741,84755,124531
102069741,84753,124527
102079741,84767,124516
102089741,84754,124530
102099741,84750,124536
102109741,84749,124544
102119741,84763,124539
102129741,84770,124545
102139741,84770,124560
102149741,84771,124570
102159741,84771,124560
102169741,84773,124564
102179741,84774,124533
102189741,84781,124533
102199741,84783,124525
102209741,84763,124513
102219741,84761,124514
102229741,84759,124495
102239741,84760,124485
102249741,84753,124470
102259741,84761,124462
102269741,84746,124460
102280741,84752,124448
102290741,84754,124450
102300741,84746,124474
102310741,84747,124462
102320741,84754,124469
102330741,84745,124455
102340741,84747,124459
102350741,84754,124482
102360741,84747,124492
102370741,84756,124507
102380741,84762,124497
102390741,84764,124491
102400741,84754,124475
102410741,84759,124483
102420741,84766,124489
102430741,84753,124478
102440741,84751,124471
102450741,84751,124446
102460741,84749,124457
102470741,84732,124435
102481741,84744,124436
102491741,84748,124427
102501741,84731,124436
102511741,84735,124444
102521741,84733,124452
102531741,84741,124474
102541741,84745,124461
102551741,84755,124468
102561741,84744,124476
102571741,84741,124489
102581741,84750,124483
102591741,84755,124478
