timestamp,red,ir
5044129,83664,119698
5054129,83675,119697
5064129,83670,119699
5074129,83670,119725
5084129,83675,119714
5094129,83675,119720
5104129,83672,119717
5114129,83674,119715
5124129,83668,119721
5134129,83684,119719
5145129,83673,119718
5155129,83672,119684
5165129,83669,119679
5175129,83656,119634
5185129,83654,119615
5195129,83641,119597
5205129,83638,119585
5215129,83641,119571
5225129,83638,119584
5235129,83643,119566
5245129,83634,119575
5255129,83650,119592
5265129,83653,119590
5275129,83649,119601
5285129,83656,119605
5295129,83645,119622
5305129,83657,119634
5315129,83668,119618
5325129,83657,119637
5335129,83651,119635
5345129,83645,119644
5356129,83659,119653
5366129,83657,119646
5376129,83644,119662
5386129,83656,119651
5396129,83643,119650
5406129,83641,119638
5416129,83655,119628
5426129,83662,119631
5436129,83646,119633
5446129,83660,119642
5456129,83653,119650
5466129,83661,119645
5476129,83662,119649
5486129,83663,119660
5496129,83664,119661
5506129,83661,119678
5516129,83667,119682
5526129,83663,119681
5536129,83670,119687
5546129,83667,119693
5556129,83673,119701
5567129,83670,119721
5577129,83681,119724
5587129,83673,119732
5597129,83680,119737
5607129,83675,119743
5617129,83686,119736
5627129,83680,119742
5637129,83682,119767
5647129,83679,119771
5657129,83686,119774
5667129,83686,119780
5677129,83688,119783
5687129,83696,119786
5697129,83695,119780
5707129,83689,119791
5717129,83697,119790
5727129,83698,119800
5737129,83697,119809
5747129,83700,119820
5757129,83693,119822
5768129,83704,119827
5778129,83701,119828
5788129,83700,119835
5798129,83701,119855
5808129,83692,119855
5818129,83707,119852
5828129,83697,119822
5838129,83700,119821
5848129,83698,119786
5858129,83683,119772
5868129,83686,119737
5878129,83684,119722
5888129,83680,119701
5898129,83679,119704
5908129,83687,119709
5918129,83678,119720
5928129,83686,119717
5938129,83691,119725
5948129,83690,119729
5958129,83679,119744
5968129,83685,119750
5979129,83680,119768
5989129,83682,119779
5999129,83691,119783
6009129,83684,119799
6019129,83698,119813
6029129,83691,119819
6039129,83696,119810
6049129,83691,119833
6059129,83693,119832
6069129,83692,119840
6079129,83697,119810
6089129,83693,119824
6099129,83698,119798
6109129,83707,119807
6119129,83702,119824
6129129,83707,119802
6139129,83698,119822
6149129,83697,119812
6159129,83709,119824
6169129,83704,119837
6179129,83708,119841
6190129,83704,119852
6200129,83710,119860
6210129,83696,119877
6220129,83706,119877
6230129,83712,119891
6240129,83709,119890
6250129,83709,119898
6260129,83720,119915
6270129,83719,119926
6280129,83719,119934
6290129,83727,119948
6300129,83732,119947
6310129,83740,119933
6320129,83730,119945
6330129,83737,119954
6340129,83728,119957
6350129,83737,119949
6360129,83730,119962
6370129,83731,119975
6380129,83734,119963
6390129,83728,119976
6401129,83739,119980
6411129,83735,119980
6421129,83734,120001
6431129,83746,120000
6441129,83742,120017
6451129,83737,120025
6461129,83742,120027
6471129,83744,120047
6481129,83746,120044
6491129,83748,120053
6501129,83763,120041
6511129,83758,120026
6521129,83760,120007
6531129,83751,119976
6541129,83731,119964
6551129,83737,119938
6561129,83729,119935
6571129,83728,119933
6581129,83725,119923
6591129,83727,119931
6602129,83730,119942
6612129,83728,119949
6622129,83727,119952
6632129,83733,119986
6642129,83743,119985
6652129,83731,120002
6662129,83747,120007
6672129,83738,120016
6682129,83751,120047
6692129,83753,120069
6702129,83761,120062
6712129,83768,120079
6722129,83765,120078
6732129,83762,120073
6742129,83762,120077
6752129,83761,120068
6762129,83751,120065
6772129,83755,120045
6782129,83757,120053
6792129,83750,120060
6802129,83755,120058
6813129,83750,120062
6823129,83753,120044
6833129,83758,120062
6843129,83755,120076
6853129,83756,120098
6863129,83759,120101
6873129,83770,120119
6883129,83772,120127
6893129,83773,120150
6903129,83782,120149
6913129,83777,120166
6923129,83791,120188
6933129,83790,120179
6943129,83787,120183
6953129,83786,120194
6963129,83793,120197
6973129,83796,120200
6983129,83797,120204
6993129,83794,120206
7003129,83803,120210
7013129,83788,120213
7024129,83795,120211
7034129,83792,120220
7044129,83799,120214
7054129,83787,120250
7064129,83803,120253
7074129,83800,120246
7084129,83798,120268
7094129,83804,120279
7104129,83810,120296
7114129,83810,120300
7124129,83822,120298
7134129,83826,120307
7144129,83829,120318
7154129,83825,120316
7164129,83820,120330
7174129,83822,120311
7184129,83822,120303
7194129,83815,120282
7204129,83810,120256
7214129,83802,120253
7225129,83796,120216
7235129,83793,120208
7245129,83790,120191
7255129,83790,120206
7265129,83787,120211
7275129,83781,120216
7285129,83795,120230
7295129,83797,120244
7305129,83797,120258
7315129,83806,120263
7325129,83817,120290
7335129,83823,120305
7345129,83828,120299
7355129,83814,120318
7365129,83829,120334
7375129,83834,120353
7385129,83831,120348
7395129,83832,120339
7405129,83818,120337
7415129,83822,120338
7425129,83823,120331
7436129,83817,120345
7446129,83819,120322
7456129,83817,120343
7466129,83814,120320
7476129,83811,120339
7486129,83819,120326
7496129,83822,120350
7506129,83820,120346
7516129,83827,120365
7526129,83822,120365
7536129,83820,120370
7546129,83839,120392
7556129,83838,120385
7566129,83840,120395
7576129,83833,120398
7586129,83820,120413
7596129,83838,120423
7606129,83854,120428
7616129,83847,120451
7626129,83855,120457
7636129,83862,120478
7647129,83857,120482
7657129,83873,120485
7667129,83869,120515
7677129,83867,120504
7687129,83869,120513
7697129,83861,120522
7707129,83872,120522
7717129,83868,120531
7727129,83864,120526
7737129,83863,120527
7747129,83878,120531
7757129,83879,120547
7767129,83891,120549
7777129,83885,120578
7787129,83875,120569
7797129,83886,120550
7807129,83886,120566
7817129,83880,120554
7827129,83889,120568
7837129,83877,120564
7848129,83882,120565
7858129,83879,120566
7868129,83887,120544
7878129,83878,120550
7888129,83867,120533
7898129,83855,120501
7908129,83860,120492
